Song_id,Title,Artist,Valance,Arousal,Genre,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,have_sim
75,Everybody Needs Somebody to Love,Blues Brothers,892719,933734,randb,712,269,100,3304,106,1
76,No distance left to run,Blur,97122,276727,rock,1708,533,586,3200,779,1
77,Song 2,Blur,914095,853757,rock,557,914,1708,287,446,1
78,Blowin' in the wind,Bob Dylan,147729,381356,folk,360,273,511,362,484,1
79,Lay lady lay,Bob Dylan,952411,324284,folk,360,511,708,305,262,1
80,Maggie's farm,Bob Dylan,355968,670714,folk,511,708,305,556,262,1
81,Pledging my time,Bob Dylan,293823,463565,folk,552,207,-1,-1,-1,1
82,The Man In Me,Bob Dylan,794758,474649,folk,360,511,508,273,262,1
83,Tomorrow is a long time,Bob Dylan,256985,131121,folk,362,-1,-1,-1,-1,1
84,Could you be loved,Bob Marley,943683,566495,reggae,86,299,484,300,483,1
85,Is this love,Bob Marley,969576,480030,reggae,85,325,1626,1617,1623,1
86,Jammin',Bob Marley,960780,521411,reggae,325,925,-1,-1,-1,1
87,No woman no cry,Bob Marley,803242,507858,reggae,325,299,320,483,484,1
88,Redemption song,Bob Marley,172133,522776,reggae,85,325,1620,1623,925,1
89,Waiting in vain,Bob Marley,536772,406483,reggae,1617,300,299,-1,-1,1
90,Total eclipse of the heart,Bonnie Tyler,4915,753206,vocal pop,674,522,45,3,672,1
91,End of the road,Boyz II Men,730904,441226,randb,527,165,4025,32,636,1
92,Song-song,Brad Mehldau,552084,221466,jazz,1035,811,3919,-1,-1,1
93,Talk about our love,Brandy,857997,484428,randb,33,254,-1,-1,-1,1
94,Slave to love,Bryan Ferry,924957,495967,rock,523,129,437,439,152,1
95,Everytime,Britney Spears,50617,477507,pop,4078,789,3960,1405,581,1
96,That's where you take me,Britney Spears,896221,324983,pop,2347,581,1785,3569,-1,1
97,Crawlin' kingsnake,Buddy Guy,326186,515322,blues,517,-1,-1,-1,-1,1
98,I cry and sing the blues,Buddy Guy,1115,554866,blues,-1,-1,-1,-1,-1,0
99,Mustang Sally,Buddy Guy,575270,927577,blues,712,3304,-1,-1,-1,1
100,Chan chan,Buena Vista Social Club,873273,300613,latin,325,925,70,4074,11,1
101,Dos gardenias,Buena Vista Social Club,841993,366782,latin,305,70,11,-1,-1,1
102,Murmullo,Buena Vista Social Club,886943,197520,latin,70,-1,-1,-1,-1,1
103,Orgullecida,Buena Vista Social Club,872207,296439,latin,103,70,11,-1,-1,1
104,Veinte anos,Buena Vista Social Club,974798,403659,latin,-1,-1,-1,-1,-1,0
105,Minnie the Moocher,Cab Calloway,635642,400132,jazz,237,1058,309,-1,-1,1
106,Any other name,Bobbi Humphrey,639453,42521,electro,-1,-1,-1,-1,-1,0
107,Main theme,Caravelli,106973,98646,soundtrack,-1,-1,-1,-1,-1,0
108,Quelqu'un m'a dit,Carla Bruni,273191,257455,vocal pop,252,373,382,3299,381,1
109,Misty,Carmen McRae,942978,178319,jazz,514,2915,3522,2903,1077,1
110,Yesterday once more,Carpenters,810286,435548,pop,53,176,1400,508,-1,1
111,Lady d'Arbanville,Cat Stevens,17186,400324,rock,113,508,79,1400,305,1
112,Oh very young,Cat Stevens,319033,356732,rock,362,273,483,306,2427,1
113,Sad Lisa,Cat Stevens,83216,385743,rock,1400,508,305,1378,360,1
114,April in Paris,Charlie Parker,890357,323145,jazz,121,693,-1,-1,-1,1
115,Almost blue,Chet Baker,111290,24574,jazz,3063,71,371,514,1155,1
116,I fall in love too easily,Chet Baker,907127,213333,jazz,124,2021,357,1460,313,1
117,I'm glad there is you,Chet Baker,615952,133337,jazz,1163,2024,1107,562,-1,1
118,It's always you,Chet Baker,785674,131890,jazz,120,-1,-1,-1,-1,1
119,I've never been in love before,Chet Baker,884261,27440,jazz,119,226,1164,357,653,1
120,Moon love,Chet Baker,631389,103125,jazz,118,3868,209,1161,2908,1
121,Someone to watch over me,Chet Baker,606050,79120,jazz,123,1460,2915,2024,562,1
122,This is always,Chet Baker,944742,65074,jazz,122,516,2024,562,2942,1
123,Time after time,Chet Baker,927492,98758,jazz,371,2020,3053,1107,562,1
124,Prelude No.4,Martha Argerich,19655,139779,classical,-1,-1,-1,-1,-1,0
125,Blue hotel,Chris Isaak,70116,577607,rock,129,95,523,437,45,1
126,Blue Spanish Sky,Chris Isaak,10866,20749,rock,1378,-1,-1,-1,-1,1
127,Nothing's changed,Chris Isaak,132261,381658,rock,-1,-1,-1,-1,-1,0
128,Wicked game,Chris Isaak,42066,301133,rock,126,95,523,1676,45,1
129,Monday morning,Chris Rea,508435,155433,rock,-1,-1,-1,-1,-1,0
130,Can't Hold Us Down,Christina Aguilera,109707,640581,pop,164,277,4091,2347,4125,1
131,Fighter,Christina Aguilera,378367,805195,pop,165,2347,2060,277,18,1
132,Fluffy tufts,Cocteau Twins,546813,78808,rock,146,-1,-1,-1,-1,1
133,Lorelei,Cocteau Twins,887335,476175,rock,146,3591,276,556,-1,1
134,Amsterdam,Coldplay,815303,303166,rock,586,557,78,533,3074,1
135,Yellow,Coldplay,279291,353820,rock,586,557,640,78,533,1
136,Mood Indigo,Coleman Hawkins,855231,44918,jazz,166,-1,-1,-1,-1,1
137,Colorblind,Counting Crows,4455,305438,rock,1236,3248,647,660,-1,1
138,Rain king,Counting Crows,273754,554620,rock,660,446,647,1360,2159,1
139,Round Here,Counting Crows,119515,329375,rock,139,660,446,2159,512,1
140,Laura's theme,Craig Armstrong,63364,142670,electro,1971,746,2876,1605,1138,1
141,I can't be with you,The Cranberries,282277,559277,rock,-1,-1,-1,-1,-1,0
142,No need to argue,The Cranberries,214188,43403,rock,446,380,647,512,557,1
143,Fortunate sun,Creedence Clearwater Revival,360918,690988,rock,267,-1,-1,-1,-1,1
144,Like cockatos,The Cure,38117,395709,rock,-1,-1,-1,-1,-1,0
145,Plainsong,The Cure,270357,485576,rock,276,134,75,512,556,1
146,Tripping out,Curtis Mayfield,709180,540573,randb,-1,-1,-1,-1,-1,0
147,La Vie En Rose,Cyndi Lauper,810824,37689,pop,-1,-1,-1,-1,-1,0
148,Nightvision,Daft Punk,629154,48538,electro,150,340,2117,-1,-1,1
149,Superheroes,Daft Punk,691572,1036703,electro,3410,220,462,-1,-1,1
150,Heroes,David Bowie,73711,913136,rock,273,299,412,289,511,1
151,Let's dance,David Bowie,729685,817644,rock,442,523,276,437,95,1
152,Bringing down the light,David Sylvian,84708,4072,electro,-1,-1,-1,-1,-1,0
153,The scent of magnolia,David Sylvian,68770,348273,electro,406,-1,-1,-1,-1,1
154,The host of seraphism,Dead Can Dance,75767,378626,electro,-1,-1,-1,-1,-1,0
155,Viva Las Vegas,Dead Kennedys,772732,1000997,rock,247,276,2154,-1,-1,1
156,Here's that rainy day,Dee Dee Bridgewater,851520,182408,jazz,1151,1184,2020,2990,1107,1
157,Black night,Deep Purple,321000,645687,rock,770,4,289,2293,652,1
158,Child in time,Deep Purple,64964,768890,rock,299,300,770,412,181,1
159,Hush,Deep Purple,994388,823920,rock,158,300,296,770,289,1
160,Let's get rocked,Def Leppard,780839,823687,rock,561,242,770,522,3206,1
161,Goodnight lovers,Depeche Mode,819567,47230,rock,894,1354,462,-1,-1,1
162,Bad Habit,Destiny's Child,835697,449306,randb,1253,33,733,254,1407,1
163,Soldier,Destiny's Child,825518,541896,randb,131,3994,32,277,2267,1
164,Survivor,Destiny's Child,781739,418935,randb,132,587,277,1790,3994,1
165,Darn that dream,Dexter Gordon,922213,333581,jazz,1463,121,1098,-1,-1,1
166,Squeeze me,Diana Krall,854532,182473,jazz,1772,2990,1184,513,1461,1
167,I'm coming out,Diana Ross,948229,921490,randb,176,526,1371,91,234,1
168,Last time I saw him,Diana Ross,900411,572005,randb,23,3297,1562,-1,-1,1
169,Don't leave home,Dido,244485,352927,pop,648,1563,3297,39,2347,1
170,Here With Me,Dido,93331,494140,pop,734,1563,1565,1405,3413,1
171,White flag,Dido,273994,378609,pop,1563,1405,648,3413,3995,1
172,Honeysuckle rose,Dinah Shore,945914,483466,jazz,2918,1078,-1,-1,-1,1
173,Timestretched,The Divine Comedy,207582,171503,rock,-1,-1,-1,-1,-1,0
174,You know that I love you,Donell Jones,767820,431721,randb,628,2061,1264,33,1257,1
175,Hot stuff,Donna Summer,833219,882948,randb,168,558,111,674,91,1
176,A song for you,Donny Hathaway,153622,290854,randb,11,10,70,1593,489,1
177,We're not making love no more,Dru Hill,733552,407726,randb,527,838,236,636,2562,1
178,Mood indigo,Duke Ellington,934070,338765,jazz,237,1058,106,166,-1,1
179,Star crossed Lovers,Duke Ellington,936784,234993,jazz,309,-1,-1,-1,-1,1
180,Hotel California,Eagles,902054,470694,rock,299,207,273,484,483,1
181,Tell me why,Eddie Cochran,921832,188228,rock,-1,-1,-1,-1,-1,0
182,Azure,Ella Fitzgerald,845945,9960,jazz,1107,1078,390,-1,-1,1
183,Lullaby of birdland,Ella Fitzgerald,823516,581949,jazz,1058,357,693,1461,2021,1
184,Our love is here to stay,Ella Fitzgerald,962858,457627,jazz,2026,1152,-1,-1,-1,1
185,Summertime,Ella Fitzgerald,932249,157530,jazz,1058,3063,382,2020,68,1
186,The man I love,Ella Fitzgerald,963767,192783,jazz,1461,1470,355,1152,2915,1
187,Misty,Ella Fitzgerald,801008,199494,jazz,355,3053,382,117,1475,1
188,Speak low,Ella Fitzgerald,892592,260379,jazz,1177,-1,-1,-1,-1,1
